Query: java functional programming language
Summary: <<
java functional programming language
Query date: 2016-06-20
Papers: 980
Citations: 208771
Years: 30
Cites/year: 6959.03
Cites/paper: 213.03/69.0/multi (mean/median/mode)
Cites/author: 99865.54
Cites/author/year: 3328.85
Papers/author: 500.54
Authors/paper: 2.61/2.0/2 (mean/median/mode)
h-index: 193 (74%)
g-index: 429 (88%)
e-index: 343.64
hc-index: 109
hI-index: 68.73
hI,norm: 137
hI,annual: 4.57
hm-index: 136.62
AW-index: 148.12
AWCR: 21938.78
AWCRpA: 9586.13

Hirsch a=5.60, m=6.43
Contemporary ac=7.39

226 paper(s) with 1 author(s)
293 paper(s) with 2 author(s)
221 paper(s) with 3 author(s)
140 paper(s) with 4 author(s)
81 paper(s) with 5 author(s)
19 paper(s) with 6 author(s)
>>

Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type
11303,"G Booch","The unified modeling language user guide",2005,"","Pearson Education India","","http://scholar.google.com/scholar?cites=3277758065829707358&as_sdt=2005&sciodt=0,5&hl=en&num=20",742,2016-06-20,"CITATION"
8649,"G Kiczales, J Lamping, A Mendhekar, C Maeda…","Aspect-oriented programming",1997,"… -oriented programming","Springer","http://link.springer.com/chapter/10.1007/BFb0053381","http://scholar.google.com/scholar?cites=1500031832933382509&as_sdt=2005&sciodt=0,5&hl=en&num=20",7,2016-06-20,""
8354,"RC Gentleman, VJ Carey…","Bioconductor: open software development for computational biology and bioinformatics",2004,"Genome …","genomebiology.biomedcentral.com","","http://scholar.google.com/scholar?cites=11210161729572299828&as_sdt=2005&sciodt=0,5&hl=en&num=20",802,2016-06-20,"HTML"
7049,"CA Schneider, WS Rasband, KW Eliceiri","NIH Image to ImageJ: 25 years of image analysis",2012,"Nat methods","researchgate.net","","http://scholar.google.com/scholar?cites=8490320759898335020&as_sdt=2005&sciodt=0,5&hl=en&num=20",49,2016-06-20,"PDF"
5387,"M Fowler","UML distilled: a brief guide to the standard object modeling language",2004,"","books.google.com","","http://scholar.google.com/scholar?cites=190814370870265257&as_sdt=2005&sciodt=0,5&hl=en&num=20",756,2016-06-20,"BOOK"
5050,"T Lindholm, F Yellin, G Bracha, A Buckley","The Java Virtual Machine Specification: Java SE 8 Edition",2014,"","Pearson Education","","http://scholar.google.com/scholar?cites=12724149205898016937&as_sdt=2005&sciodt=0,5&hl=en&num=20",181,2016-06-20,"CITATION"
3828,"K Czarnecki, UW Eisenecker","Generative programming",2000,"Edited by G. Goos, J. Hartmanis, and J. van …","Springer","http://link.springer.com/content/pdf/10.1007/3-540-36208-8.pdf#page=24","http://scholar.google.com/scholar?cites=7563759339020112662&as_sdt=2005&sciodt=0,5&hl=en&num=20",75,2016-06-20,""
3791,"G Kiczales, E Hilsdale, J Hugunin, M Kersten…","An overview of AspectJ",2001,"… -Oriented Programming","Springer","http://link.springer.com/chapter/10.1007/3-540-45337-7_18","http://scholar.google.com/scholar?cites=10965884181678197162&as_sdt=2005&sciodt=0,5&hl=en&num=20",451,2016-06-20,""
3259,"WJ Schroeder, B Lorensen, K Martin","The visualization toolkit",2004,"","cds.cern.ch","","http://scholar.google.com/scholar?cites=7104494859348968926&as_sdt=2005&sciodt=0,5&hl=en&num=20",564,2016-06-20,"CITATION"
3045,"J Schindelin, I Arganda-Carreras, E Frise, V Kaynig…","Fiji: an open-source platform for biological-image analysis",2012,"Nature …","nature.com","http://www.nature.com/nmeth/journal/v9/n7/full/nmeth.2019.html%3FWT.ec_id%3DNMETH-201207","http://scholar.google.com/scholar?cites=17249863664147333646&as_sdt=2005&sciodt=0,5&hl=en&num=20",832,2016-06-20,""
2849,"PD Adams, RW Grosse-Kunstleve, LW Hung…","PHENIX: building new software for automated crystallographic structure determination",2002,"… Section D: Biological …","iucr.org","","http://scholar.google.com/scholar?cites=4389160831925342594&as_sdt=2005&sciodt=0,5&hl=en&num=20",219,2016-06-20,"HTML"
2559,"RGG Cattell, DK Barry, D Bartels, M Berler, J Eastman…","The object database standard: ODMG 2.0",1997,"","ime.usp.br","","http://scholar.google.com/scholar?cites=5866130403199041514&as_sdt=2005&sciodt=0,5&hl=en&num=20",701,2016-06-20,"BOOK"
2339,"BC Pierce","Types and programming languages",2002,"","books.google.com","","http://scholar.google.com/scholar?cites=7474942084133309692&as_sdt=2005&sciodt=0,5&hl=en&num=20",589,2016-06-20,"BOOK"
2305,"D Gay, P Levis, R Von Behren, M Welsh, E Brewer…","The nesC language: A holistic approach to networked embedded systems",2003,"Acm Sigplan …","dl.acm.org","http://dl.acm.org/citation.cfm?id=781133","http://scholar.google.com/scholar?cites=5262037412050010660&as_sdt=2005&sciodt=0,5&hl=en&num=20",499,2016-06-20,""
1738,"P Tarr, H Ossher, W Harrison, SM Sutton Jr","N degrees of separation: multi-dimensional separation of concerns",1999,"Proceedings of the 21st …","dl.acm.org","http://dl.acm.org/citation.cfm?id=302457","http://scholar.google.com/scholar?cites=8533584048613710561&as_sdt=2005&sciodt=0,5&hl=en&num=20",148,2016-06-20,""
1720,"A Sabelfeld, AC Myers","Language-based information-flow security",2003,"IEEE Journal on selected areas in …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=1159651","http://scholar.google.com/scholar?cites=16966232882328693645&as_sdt=2005&sciodt=0,5&hl=en&num=20",88,2016-06-20,""
1499,"C Flanagan, KRM Leino, M Lillibridge, G Nelson…","PLDI 2002: Extended static checking for Java",2013,"ACM Sigplan …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2502520","http://scholar.google.com/scholar?cites=9036853179885307789&as_sdt=2005&sciodt=0,5&hl=en&num=20",10,2016-06-20,""
